people.n.1	in england they think people be important or not base on they birth	birth
people.n.39	camera and all that sort of stuff do not tempt people people	oh yeah yeah it you hide you fishing gear and you people
people.n.40	this topic be that that i know some very intelligent people and i i say well here be a little brochure	and uh the uh the uh how do i say this the uh the thing that i have notice with uh why do not you read this and see what it say i do not want to read that okay and uh
people.n.41	actually have to interview like about a hundred and fifty people before they could actually uh get together a jury because	this be uh all civil although i uh i do have a chance at a criminal one they uh there have be so much publicity about it but uh i be not select for that one i would have be interesting i think but the i guess the question that be uh what we think of uh trial by jury that be a hard question
people.n.42	you think that child care should be do by other people besides the people have the kid	uh um it pre suppose something that be not necessarily that be not necessarily true first of all that kid
people.n.43	it become a wellknown place to go and people speak of go a los burrito lrb to the burrito	rrb when they want taco of that kind
people.n.44	we will have uh we will have a bunch of people over and cook deer	umhum well sometimes deer
people.n.45	the north part of the city where they be have people separate the garbage as the trash as they put it	no we have a pilot program in arlington go on i think in out
people.n.46	and they have uh like fourth of july celebration and people will get together and play softball and that be fun	a real big thing either but i enjoy baseball just for a fun pastime now with you know a group get together a family reunion or whatever or or it we we live in a real small community i really enjoy that i think it be a fun game i think it be funner to play than to watch myself
people.n.47	report that slightly under 25 percent of the 250 million people live in the united states live in rural area	the united states census bureau lrb 1990 datum rrb area
people.n.48	to pay i know company have to pay for these people to be off from work or at least give they	if there be some big expense in try to call a jury to trial and then have to pay whatever they have to pay if there be something that they have the time off
people.n.49	to what you have have so far so i mean people be still wear shorts and	usually warm i mean we have have a few cool day uh this month but not anything i be sure compare and
people.n.50	surrender that be yeah it just really come down to people be people you know you have to have some compassion	right and some humanness do not matter where the boundary be
people.n.51	c then i should have tell he that people put bomb on train because they be look for god	god
people.n.52	know that uh oh probably at least half of the people that i know be on some kind of a low	well i think it be everywhere i i i fat diet for one reason or another or be low fat or no fat
people.n.53	about it i do not think it be something that people really think about either	umhum yeah i i yeah i just do not understand you know what else anyone can do either
people.n.54	my uh teach experience that since a lot of the people be my own age or older even um that because	well and i notice in i teach english as a second language so i do not have you average freshman student and um so i
people.n.55	would have to take she off they you know some people i mean that be they they they go off they	how be you go to tell if she be hook on they you and they they be go to die
people.n.56	greatest measure of equal justice for client and economically disadvantaged people people	target legal service resource to achieve the people
people.n.57	what monumental transformation await we proudly postmodern mingled with people on this very globe still wed to archetype thousand of	year old
people.n.58	draft a new civil code in language accessible to ordinary people people	in 1804 he charge a group of lawyer with the task of people
people.n.59	correct be that it be increasingly hard to educate young people about the real danger of drug use	the one area where stevenson have it use
people.n.60	the only people in london who do not heap scorn on it be	those who complain they be too tired of the topic to talk about it
people.n.61	at one point he throw cash to people in a local soup line	line
people.n.62	turn people into product be the headline above a new york times	commentary by brent staples that evoke among other thing the sciencefictional prospect of the wholesale manufacture of synthetic human being
people.n.63	party be charge with forge a positive path for the people of jamaica	he and he jamaica
people.n.64	it the preeuropean history of the inuit and other early people be a vague archaeological patchwork of bone stone and artifact	with no written culture to document artifact
people.n.65	make up by borrowing or by increase tax on other people rrb	leave aside critical question of fairness and revenue lose to the treasury lrb which must be rrb
people.n.66	to the great depression to the civil rights movement we people have always muster the determination to construct from these crisis	in clinton s first inaugural the only allusion to the race problem be in this sentence from we revolution the civil war the pillar of we history
people.n.67	review cjr be fill with article you would say only people in the business could possibly want to read except that	dullness be a problem for media magazine in general the prototype be the ever worthy always soporific columbia journalism they be too mundane even for people in the business
people.n.68	on similar grounds we could tax people for be male or tall or beautiful all these trait	be positively correlate with income
people.n.69	gatsbyesque and gawkworthy have be so dramatic that now some people visit the northwest for the sole purpose of stare at	they arena be lake washington the 18milelong moat that separate seattle from the eastside locale of bellevue mercer island kirkland and redmond global headquarters of slate the transition of lake washington from a decent waterskiing pond into something all the manmade creation on and around the lake
people.n.70	but while other people make headline he be make history	history
people.n.71	certain people remain virusnegative despite repeated exposure	exposure
people.n.72	bill that would bar health insurance company from discriminate against people because of they gene	usa today lead with president clinton s support of a gene
people.n.73	imagine and simulated diverse want hope worry and striving of people in she life	in act they out traci life
people.n.74	either way that be the one thing people do sort of line up against	against
people.n.75	and of course people at first blame thatcher not socialism for the mess	mess
people.n.76	the defendant hold responsible for the killing or 2000 people and for dozen of rape be a former rwandan mayor	who now face a maximum sentence of life in prison
people.n.77	not be surprise to learn say the submarine and the people in the vicinity be absolutely safe	russian authority you will safe
people.n.78	then in the support text she suggest address the different people who might be do the screening and the need to	tie it to intervention
people.n.79	soon in order to renew they tie with the jewish people people	the paper say a first group of several dozen maoris be expect in israel people
people.n.80	within that zone people may not without consent approach anyone within 8 foot to	engage in oral protest education or counseling on a public sidewalk
people.n.81	you check the stats stalin and mao actually kill more people people	and second if people
people.n.82	have clearly give they life and they career to help people who could not help themselves	the adviser call the defamation case a attempt to silence those who challenge the white establishment and to punish three man who themselves
people.n.83	two suicide bomber kill at least 14 people and injure more than 150 at a vegetable market in	jerusalem
people.n.84	the enlighten view of how to manage people be to judge they by they output instead	instead
people.n.85	the post examine africa where the disease kill 5000 people each day and could kill as many as 13000 per	day in 2005
people.n.86	the hometown 7 million bash attend by perhaps 2 million people a aroundtheworld series of golden moment in the pacific asia	the nyt lead communicate the vast unprecedented scope of the revel note besides africa europe and the americas
people.n.87	there be now million of people who use cdrom encyclopedia and almost none of they have	buy britannica in book form
people.n.88	maybe prolonged exposure of any kind to you state make people sleep later	later
people.n.89	bar and another twentyeight thousand dollar a day incarcerate young people on drug offens he say angrily	texas currently spend over one point fourfive million dollar per day keep drug offender behind angrily
people.n.90	line that it be bill not she who pardon these people people	last night s inside city hall on new york 1 lrb the cable channel rrb have a police union guy pretty much swallow hillary s people
people.n.91	project will culminate in a issue rank the top 100 people of the century rrb	lrb time s rrb
people.n.92	in everyday conversation so it be hardly surprising that when people have to say they for the first time they guess	now of course conduit and untoward be not word common the pronunciation from the spelling always a dangerous procedure in english
people.n.93	when i get out of college which be seventy eight people say now if you get a job with general motors	i remember or att or ibm you be set for life
people.n.94	go with a with a nine hundred number and have people dial in and give they uh vote	maybe they could vote
people.n.95	with it i think that uh what most of the people here in new york state be go after right now	inversion and then it get hazy around here but they be really we do not have a big problem be it be it be the uh ongoing acid rain problem especially out in the uh uh adirondack area where you know the lake be become uh change the acidity of the lakes and we be have problem now because the fish be die and certain acidic loving plant uh or alkaline liking plant be just not last anymore because the soil level the p h be change
people.n.96	but people do not wan na burn ponderosa pine they wan na	burn oak which be very hard to find in this region or juniper because it be the more plentiful hardwood
people.n.97	sixty mile and can you really expect the uh the people in that district to support all that overhead of get	and there a certain amount of overhead in run a school district uh for instance those kid may be spread out uh over a area where drive the bus you may go forty or fifty or even the kid to and from school so some of the money come through the state from all people in the state basically equal well base upon they income to i be sorry i i take i that back a little bit of it come from they income uh to support do thing like that and that be probably okay uh it be kind of like telephone where uh the folk that live in the middle of town subsidize for people that have line that go out for four or five mile
people.n.98	of in control and that be kind of sad when people neglect pet but so let s see how how old	so it add a dimension that that uh you be kind be you dog
people.n.99	where those people that be mobile can still retain they they independence but	maybe have somebody come by and check on they once or twice a day bring they the grocery or come by and chat or whatever and then a hospice for those who no longer quite so mobile
people.n.100	when such a image be find thousand of people whether in mexico or the united states flock to see	and pray before the image
