force.n.1	you will use force to defend some policy or principle	principle
force.n.37	1994 for example be trojan stalk horse for fundamentalist christian force man and woman who emphasize popular secular conservative issue in	the other now more common mean harbor a element of deviousness stealth candidate in state and local election in 1992 and they campaign but fail to disclose that they candidacy have be covertly plan and energize by the religious right
force.n.38	to a romantic attachment they believe to be a key force in event	it be get absurd for reporter to analyze development at city hall without refer event
force.n.39	it but also that he will keep the builtup us force in the persian gulf region to make sure iraq keep	the papers report that president clinton give he tentative ok to up its end
force.n.40	resist the temptation to engage in carp criticism harshness and force force	at the same time such parent must force
force.n.41	daniel pollock wonder how we could use research as a force for positive change in the clinical setting	setting
force.n.42	i do think it represent a moment in which cultural force that miller do not account for realign in a way	while i do not mean to make too great a claim for disco that change rock
force.n.43	be the upstart commander of black political force threaten a weaken but spiritual refined and honorbound version of	the south
force.n.44	2002 kiowas be deploy as part of nato s sfor force in bosnia and in 2003 120 kiowas be deploy in	in support of operation iraqi freedom
force.n.45	many accident every single day that it take another police force just to answer the traffic	and there be just so many people and so traffic
force.n.46	be give by just add up little increment of the force act on a mass and accelerate it through a distance	so the work do distance
force.n.47	under the duke of wellington the spanish expel the occupy force force	finally with the help of the british force
force.n.48	seven year later the opposition of radical force topple primo de rivera from power	power
force.n.49	in the death of one fatah member after palestinian security force pursuant to the new agreement raid the fatah headquarters there	the two papers note that violent clash break out in the palestiniancontrolled city of ramallah result confiscate document and weapon and make five arrest
force.n.50	the international context nato commander may get line authority over force assign by other nation	in nation
force.n.51	but these expression of contempt have nothing of the force that bradley s do	do
force.n.52	move on to other business prompt complaint from the proreform force lead by sen	after these vote senate majority leader trent lott quickly try to sen
force.n.53	the essential force behind the performance impact of these practice be they effective	integration with one another
force.n.54	iraqi citizen by us and british occupation force the defense of	of
force.n.55	political pro in that campaign think he be a positive force brownstein say	say
force.n.56	us soldier to kosovo as part of a nato peacekeep force force	president clinton pledge to send 4000 force
force.n.57	phone number without inform he she justification have a scary force now i know how it feel to be in control	when she finally take action change the family s control
force.n.58	cretans keep up constant guerrilla warfare against the occupy axis force force	with they tradition of resistance to foreign invader force
force.n.59	in a hill column idealism be i believe the new force in we politics	he conclude politics
force.n.60	but he also manage to carry off almost by sheer force of personality a accomplishment that elude government world leader and	multilateral organization for four year he end the war in bosnia
force.n.61	cyberspace however these consideration do not apply with the same force force	in the vastness of force
force.n.62	if eleanor roosevelt be a force for good as i definitely believe then why do hillary	clinton drive i mad
force.n.63	in the israelioccupied territory and protest the presence of us force in saudi arabia	one senior al qaeda operative claim to recall bin ladin argue that attack against the united states need to be carry out immediately to support insurgency arabia
force.n.64	they be premise on the notion that some mysterious force can alter the ordinary into the extraordinary	extraordinary
force.n.65	2 rrb wait a minute we get to join force with the german union which have even more clout and	better benefit
force.n.66	conclude that the us policy of equip and train muslim force may not be such a bright idea	the paper also idea
force.n.67	supposedly fierce temper which rob the charge of any possible force force	mccain also keep up a run gag about he force
force.n.68	they take to be the fact that the border he force have cross be impose by western colonialist without the consent	those who cheer for saddam hussein instead of call he a murderer base they judgment on a law regard the sovereignty of national government and on what of the inhabitant
force.n.69	need to do more with uh you know the police force they need to make sure you have more people out	no i really do not they on the street i think you know to try to keep track of what be go on and be harder on criminal when they go to court you know make sure they go to jail and they serve all they term
force.n.70	he oppose himself to nature as one of she own force set in motion arm and leg head and hand the	natural force of he body in order to appropriate nature s production in a form adapt to he own want
force.n.71	s beauty be make to function both as a creative force and as a commodity in a europe expand through commerce	in the era follow the renaissance western woman and conquest
force.n.72	turkey agree saturday to establish a multinational southeastern europe defense force force	the nyt report inside that seven southeastern europe nation include italy greece and force
force.n.73	central command raise the force protection condition level for us troops in six country to	the highest possible level delta
force.n.74	the merchant marine be not a part of the armed force rrb	lrb besides rrb
force.n.75	aside from the unavoidable fact that competition be a drive force in the publication of such work one can scarcely expect	to improve on the competitive work without know what they be up to rrb
force.n.76	the report of the joint postal servicepostal rate commission task force on ratemaking the postal service petition the commission to adopt	follow publication of rule to implement some of the report s recommendation
force.n.77	they do not need the coercive force of government behind they	they
force.n.78	the proper statement be no one may initiate force against another	another
force.n.79	wherever the image of nonconformity appear frank spy the ascendant force of rebel consumerism	consumerism
force.n.80	gain political power during the 1920s and become a prominent force throughout the next few decade	a strong independence party the wafd decade
force.n.81	they emphasize the role of ecological selection as a drive force in speciation largely by extrapolation from the primacy of selectionist	thinking that develop during the synthesis
force.n.82	build by b f skinner into a powerful midcentury theoretical force herald the supremacy of environment in its belief that behavior	lockean idea provide the footing for american behaviorism launch by john watson in the early 1900 and be shape by external stimulus
force.n.83	last how could you say that er be not a force for good	but i have save the most important thing for good
force.n.84	to commit 20005000 american ground troops to a international ceasefiremonitoring force in kosovo	in response the nyt fronter relay the clinton administration be shop a plan around capitol hill kosovo
force.n.85	more of they than ever kick out of the armed force rrb	it be true he be not a homophobe like so many rightwinger but it be not as though he be actually do anything for gay lrb except as you have note get rrb
force.n.86	nyt call zamora vengeful and cite she as the drive force behind the murder of the 16yearold victim	in a biblical turn the wp and victim
force.n.87	seek president clinton s authorization to enlist massoud and he force as partner	in february 1999 tenet partner
force.n.88	drug trafficker and narcopolitician be buy police force and murder nosy journalist	journalist
force.n.89	helicopter have be deploy in support of united states armed force around the world include haiti somalia and the gulf of	around 375 kiowas be in service and the single engine doublebladed armed reconnaissance arabia lrb desert storm and desert shield rrb
force.n.90	cop who be not prosecute but must resign from the force and lose they pension lrb at least on television rrb	perceive analogy would be to rogue rrb
force.n.91	but the rich have come out in force in this corner of the country once know for its	scandinavian reserve
force.n.92	the crispix come back in force in fact the last time i be at the supermarket	the checker gaze at my overflow cart and say lot of cereal eater in you house be there
force.n.93	and a british minister as say that only a nato force be acceptable	but the same story quote albright acceptable
force.n.94	map a new strategy of containment against iraq with military force remain in the region indefinitely	the halt to air strike in iraq be report to leave saddam hussein in power un weapon inspector less likely than ever before to return and the us indefinitely
force.n.95	late 1990s these extremist group suffer major defeat by kurdish force force	in the force
force.n.96	zhukov rally the indomitable man and woman of that mighty force to stop the german army outside the gate of moscow	and leave they to die by the thousand in the snow
force.n.97	the persian gulf war but fail to give the armed force clear warning before they blow up the bunker	the cia admit it have evidence of chemical weapon in a iraqi bunker year before bunker
force.n.98	1919 when mary pickford charles chaplin and douglas fairbanks join force with william s hart and dw	it be not the first time that actor have try to seize the rein of production that be in dw
force.n.99	the chief of indonesia s armed force gen wiranto express willingness to accept a accelerate deployment of	peacekeeping troops
force.n.100	it be the logical force of but in the end that begin to supply the	dynamism of syllothetic enable it to combine as it do the undeniable energy of the syllogism with the indisputable power of the theorem
