introduce.v.1	not everyone in town think these witch be harmless introduce introduce	introduce
introduce.v.60	make digital electronic keyboard instrument use by professional recording musician introduce however raymond c kurzweil chairman and chief executive say the	kurzweil waltham mass company continue to require additional funding to realize the potential of its technology
introduce.v.61	president szuros deliver a nationally televise address reject communist dominance introduce in a east berlin suburb meanwhile employee at a electronics	a crowd estimate at 100000 hold a torchlit march through budapest as acting plant form a independent trade union call reform a worker spokesman say
introduce.v.62	tolstoy s character eat pushkin s gogol s introduce in life she offer practical dieting advice divide you meal	into important and unimportant
introduce.v.63	from the flat bandage use for support at the time introduce the name maidenform be coin by a third business partner	she father william rosenthal design the thendress make company s first bra in the 1920s which he say give woman a maiden form compare with the boyish form they get enid bissett
introduce.v.64	unsafe nuclear weaponsmaking facility lrb a la rocky flats rrb introduce if all of this seem a little stale it be	in this week s show there be a redeem in part by some tricky plot twist
introduce.v.65	french tabac its close alliance with they offer distribution possibility introduce instead of pay for parking by put money in the	while seita do not own the exist machine which deliver little paper receipt driver would be able to buy electronic card in local tobacco shop
introduce.v.66	be hurt by rise import and from wane cigarette demand introduce the aim say mr de galle be to win market	while seita retain a manufacturing monopoly in france it be share from import cigarette and to persuade smoker who be switch to blonde cigarette to keep buy french
introduce.v.67	a conference room in a building near where he work introduce we may ask question as you go along or we	at the scheduled time mr stone enter may wait until the end
introduce.v.68	two year later he open one in west germany introduce by combine he strength in innovation and quality control with	the lower cost of production abroad he say he have be able to produce highquality goods at low cost
introduce.v.69	ing introduce the product be the first from a european company base	on intel corp s new 32bit 486tm microprocessor which work several time faster than previously available chip
introduce.v.70	introduce the market during the startup be estimate at 25000 subscriber	subscriber
introduce.v.71	gingerly some economist begin to blame central planning introduce by summer a independent reform movement be say out loud	what it have only whisper before
introduce.v.72	as kao corp may bring they superconcentrate to the us introduce they do not want to get catch again say one	it also mark pg s grow concern that its japanese rival such industry watcher
introduce.v.73	superconcentrate be not entirely new for pg introduce when attack hit the shelf in 1987 pg s share	of the japanese market fall to about 8 from more than 20
introduce.v.74	push the lcb lessestablished rcb brand out altogether he say introduce to be sure kao would not have a easy time	then retailer will probably take us market share away from the mighty pg which have about 23 of the market
introduce.v.75	in august and decline in the late spring and summer introduce although all the price datum be adjust for normal seasonal	passenger car price jump 38 in september after climb 05 fluctuation car price rise beyond the customary autumn increase
introduce.v.76	majority of the addison council do not buy those argument introduce it would open a can of worm	but a worm
introduce.v.77	prerequisite to highschool graduation the focus have shift to washington introduce one cosponsor by sen sam nunn lrb d ga rrb	after a decade in which more than 50 locality establish they own service or conservation corps and dozen of school system make community service a and rep dave mccurdy lrb d okla rrb would have restricted federal college subsidy to student who have serve
introduce.v.78	turtle series of action figure manufacture by playmates holdings ltd introduce paul kwan manage director of playmates say 10 million ninja	the closest thing the colony s company have to a us megahit this year be the teenage mutant ninja turtles have be sell place the reptilian warrior among the 10 biggestselling toy in the us
introduce.v.79	communication that be not smooth have already undergo a transformation introduce beyond this they also have 5100 enterprise with tie inside	the condition of the border municipality in former time with building that be not high road that be not level light that be not bright water that be not clean the country and have already put 175 industrial project into operation
introduce.v.80	korean embassy in china and the korean trade revival community introduce lrb end rrb	the sinokorean economy and trade seminar will be jointly hold by the foreign affairs department of china s xinhua news agency the asian department of the ministry of foreign trade and economic cooperation the rrb
introduce.v.81	structure product structure and enterprise structure will be gradually adjust introduce accord to the ninth five year plan of shatoujiao bonded	in the come 5 year the step of attract investment should be accelerate industry area by the end of this century the bond area s annual production value of export processing will reach 15 billion yuan annual export profit will be 15 billion us dollar total annual import trade will be 200 million us dollar and annual warehousing capacity will be 200000 ton
introduce.v.82	xinhua news agency yichang march 8th by reporter yongfeng shi introduce the loan a sum of 125 million us dollar be	a export credit provide to the three gorges project by the canadian government which will be use mainly for the management system of the three gorges project
introduce.v.83	mainly for the management system of the three gorges project introduce in october of 1995 youmei lu the general manager of	the loan a sum of 125 million us dollar be a export credit provide to the three gorges project by the canadian government which will be use the three gorges project development corporation of china go to canada to sign the related business contract
introduce.v.84	international trade company have jointly restructure the manchurian clothing factory introduce it have introduce more than 30 advanced technology project from	the us global group ltd and the manchurian home and abroad and have establish more than 100 cooperative partnership in place such as northeast china east china south china beijing etc
introduce.v.85	league have freshly establish 42 three capital enterprise and have introduce a total of more than 40 million us dollar of	accord to incomplete statistics since 1994 the hulun buir foreign fund and more than 60 million yuan of domestic fund introduce accord to investigation last year the hulun buir league finish a barter trade of 350 million us dollar which be several time the spot transaction conclude in the previous year
introduce.v.86	xinhua news agency guangzhou march 28th by reporter xiaohui che introduce the three policy adjustment for foreign economy and trade to	be implement by the state this year include reduce the export tax refund rate implement the bank accounting system of deposit for import raw material and part for the processing trade and canceling of preferential duty free treatment for import equipment
introduce.v.87	of foreign economy and trade in various area in china introduce lrb end rrb	it be report that the establishment of friendship city have promote the development rrb
introduce.v.88	volume and have the greatest variety in china at present introduce lrb end rrb	use a loan from the japanese government and the direct investment of foreign company the lianyugang ruyi group have build a vegetable processing and marketing enterprise that be the largest in export rrb
introduce.v.89	introduce he say that apart from investment the chinese government also	welcome cooperation of foreign pharmaceutical enterprise to cooperate with china in other way such as compensation trade licensing trade third party processing technology transfer and joint development of new product
introduce.v.90	introduce he say that apart from investment the chinese government also	welcome cooperation of foreign pharmaceutical enterprise to cooperate with china in other way such as compensation trade licensing trade third party processing technology transfer and joint development of new product
introduce.v.91	s nickel industry s level of technology technique and equipment introduce they work out a cement fill mining method so that	see this as a juncture it work hard to improve china the average quantity mine per person per shift be 176 ton reach a internationally advanced level
introduce.v.92	per shift be 176 ton reach a internationally advanced level introduce jinyi yang general manager of jinchuan company say that jinchuan	they work out a cement fill mining method so that the average quantity mine per person s second phase project be neither a reproduction or extension of first phase technology or management nor simply increase production capacity by expand production scale
introduce.v.93	kong december 22nd by reporter chengbin sun and dongju zhu introduce he say that under the leadership of the central people	xinhua news agency hong s government and the ministry of foreign affairs in the past half year the government office have assist representative of the sar government to participate in nearly thirty international conference as member of the chinese government delegation forward many central government s authorization letter to the sar government agree on the sar government s move to negotiate with more than thirty country on more than forty bilateral agreement document in six field provide the sar government with a detailed list of more than 200 international treaty applicable to hong kong and help the sar government to resolve legal issue concern international rights and obligation assist the sar government in implement the eleven sanction resolution make by the un security council assist the sar government in the preparatory work for organize the world bank annual meeting and the international monetary fund organization annual meeting and give coordination and support in receive the foreign head of state visit hong kong and the sar government leader visit abroad
introduce.v.94	transformation of scientific and technological achievement have show obvious effect introduce among these project more than 400 have bring direct economic	the popularization and benefit create a output value of over 10 billion yuan and earn more than 500 million us dollar in foreign currency
introduce.v.95	four 10000 ton level berth will be put into reconstruction introduce currently in the port development zone 19 proprietary port with	beihai have now complete four 10000 ton level dock and in the future another tonnage capacity of over 10000 ton and 14 proprietary storage project be either under construction or prepare for construction
introduce.v.96	four 10000 ton level berth will be put into reconstruction introduce currently in the port development zone 19 proprietary port with	beihai have now complete four 10000 ton level dock and in the future another tonnage capacity of over 10000 ton and 14 proprietary storage project be either under construction or prepare for construction
introduce.v.97	outside and accelerate the pace of cooperation with the outside introduce lrb end rrb	binggang zhu express that china would continue to expand the open up to the rrb
introduce.v.98	increase 46 over last year create history s best record introduce lrb end rrb	last year the amount of earnings in hard currency from export of china s construction material product exceed 21 billion us dollar and 12 million ton of cement be export rrb
introduce.v.99	which the foreign investment value be 4185 million us dollar introduce the currently complete first phase project annual production volume that	greenkel coolant lrb china rrb limited company be a jointventure corporation jointly build by the greenkel group s northern american company china s tianjin development district s head office and china s nanfang securities company ltd with a total investment value of 50 million us dollar among could reach 10000 ton completely export for sell overseas with annual production value reach 200 million us dollar be the fluorine free coolant production base that currently have the largest production scale and the most advanced equipment and technology in asia
introduce.v.100	guangzhou april 18th by reporter xiaohui ju and meisi shi introduce this information website that be organize and develop by the	xinhua news agency china economic and trade cooperation information network center organize and collect economic and trade information and foreign cooperation project sanction from various chinese province and city currently have store nearly 10000 item of foreign cooperation project from domestic and foreign region
introduce.v.101	always show concern in the construction undertaking in the motherland introduce ambassador cai say that currently in china politics be stable	at the cocktail party ambassador cai give a warm speech to elder and brother abroad who have the economy be stable society be stable and the next ten year will be ten year of stride forward and be full of hope
introduce.v.102	good cadre and make contribution to the socialist modernization undertaking introduce introduce	with this spirit the party organization will be able to plant root among the mass will be able to lead the mass to overcome all type of difficulty move mountain to fill sea work well in area such as agriculture industry commerce education accord to policy and decree of the party and the nation lead soldier well be a introduce
introduce.v.103	strong admiration of friend from many country of the world introduce we appreciate they absolute sincerity	this be exactly why the chinese art of calligraphy win the sincerity
introduce.v.104	xinhua news agency jinan september 2nd by reporter baixin zhang introduce in the past two year more than 50 new breed	such as melon vegetable flower and fruit tree etc have successively be introduce from country such as us and japan etc and have breed 35 million improve nursery
introduce.v.105	agricultural new high level technology development and model zone to introduce and tame improve breed of nursery flower and vegetable from	laiwu city of shandong province have establish a cell structure cultivation center inside the home and abroad introduce accord to understanding currently shandong have establish ten agricultural new high level technology development and model zone similar to that of laiwu city
introduce.v.106	the zone and reap better economic benefit and social benefit introduce they have also breed 200000 toxin free fruit tree nursery	in the past two year the ten agricultural new high level technology development and model zone have promote more than a hundred new agricultural variety develop 23 new high level technology project enter nursery
introduce.v.107	among which more than 300 have be market to farmer introduce improvement of the structure of the variety strengthen the competitiveness	accord to guangdong s department of agriculture statistics since the mid80s guangdong have attract more than 1100 improve species of foreign animal and plant of guangdong s agricultural product in the international market and economic benefit have also tremendously increase
introduce.v.108	at a intermediate level of that in the recent year introduce develop at this rate in the next ten year not	limo qin director of the talent exchange and service center of guangdong province have do analysis and say the economic development rate of guangdong in 1993 be include graduate from higher education institutes guangdong s talent gap be conservatively estimate to surpass 1 million
introduce.v.109	limited company situate in shanghai s caohejing hightech development district introduce committee member of the ccp central politburo and secretary of	this afternoon brown also visit shanghai s amp link company ltd which be jointly invest and build by the shanghai electric component company and the us amp china the shanghai municipal party committee bangguo wu meet with brown this afternoon and introduce the progress and development prospects of reform and open up in shanghai
introduce.v.110	the ribbon for the sixth us boeing aircraft which be introduce by shanghai airlines introduce brown and he delegation leave shanghai	he also cut for guangzhou tonight
introduce.v.111	staff most of whom seem to be in they thirty introduce tam herself graduate from the department of educational psychology at	as you pass through the office of the macau government s directorate of administration you notice the relative youth of the national taiwan normal university in 1985 and join macau s department of education in 1987 before eventually move to the directorate of administration and rise to the post of division chief in just 11 year
introduce.v.112	he come back to taiwan he use he roc passport introduce but when he find that he elementaryschool age grandson be	when he travel to the mainland he take he macau resident s permit but when speak cantonese all day he quickly send he back to school in taiwan fear that the boy be lose he mother tongue
introduce.v.113	electricity charge and land lease be all focus of discussion introduce the factory rent be set at rmb 800 lrb about	qishi s factory rent nt 32 rrb a square meter
introduce.v.114	from 4 to 27 with over 20000 rider a month introduce dongguan appear to have a bright future	since global bus start ply this route in november 1988 daily bus departure have rise future
introduce.v.115	taoyuan country rrb last october after three year of planning introduce shih note that through the sharing of experience emerge business	in taiwan the acer group s aspire academy open its door in lungtan lrb might save themselves a lot of grope in the dark
introduce.v.116	know name brand fashion like the back of he hand introduce this year prada be put out purple shoe that cost	fashion magazine teach he to accept more colorful and cuter clothing and now he about nt 20 30000
introduce.v.117	nevertheless the two side view each other with suspicion introduce tseng fusheng feel that taiwan should claim the high ground	by hold up its experience in democratization as a example for the chinese communists
introduce.v.118	be much higher than the 13 average in the nation introduce likewise the attitude of civil servant loyal to the kmt	this figure have also take firm root in taipei
introduce.v.119	thanks to advance in the way that they be grow introduce the method soon catch on throughout the district	but wax apple have increase in value during the past 30 year district
introduce.v.120	well verse in the various school of modern western music introduce he also publish a seminal essay entitle where should chinese	later he study in france for five year where he become music go in which he passionately urge he fellow musician to create contemporary chinese music
introduce.v.121	p 62 introduce he major opera on zheng chenggong lrb koxinga rrb debut	just last year
introduce.v.122	youth open he mind to creative possibility within the tradition introduce chang mingsui pick up one tiny seal half the length	the western artistic concept that wang absorb in he of a little finger on which the knob be a vividly carve image of a dragon coil around two seashell
