wait.v.1	wait here be we national security correspondent john m wethy	wethy
wait.v.81	hill he stop to gaze at she through the window wait he look at she out of himself she think as	then when he have it point down the he do only for a instant at a time the look which always surprise she even now when he uncombable hair be yellow a little and he breath come hard through he nicotinechoked lung the look of the gaunt youth she have suddenly find herself stare at in the tate gallery on a thursday once
wait.v.82	dark outside and the clarity be back in she eye wait she go into the living room and turn on three	then she fall asleep again as soddenly as a person with fever and when she awake it be lamp then back into the kitchen where she turn on the ceiling light and the switch that light the flood on the barn illuminate the driveway
wait.v.83	market and alex be oblige to prepare himself in haste wait the market be not far and once there the doctor	it be the doctor dress and ready for the expedition to the s sense of immediacy leave he and he fall into a state of harmony with the bird around he
wait.v.84	doctor s room and the time she begin alex s wait a bustle of sheet be smooth and pillow be arrange	it be evident that a second transfer have to be effect and that it have to take place between the time the fille finish the indicate the fille de chambre s presence inside they listen and suddenly a step towards the door announce another important fact
wait.v.85	four year she wail wait how many time have i tell you he begin and	be almost glad when she cut he off too many time and flounce to the sink where she begin noisily to wash she hand
wait.v.86	be set up the liquor tray in the next room wait finally she have come down winston have hear she shake	winston have hear because he out the skirt of she new pink silk hostess gown
wait.v.87	i look away wait where exactly would we go after the movie	movie
wait.v.88	i be not only unlucky but quite stupid as well wait it suddenly occur to i that i do not particularly	it seem to i that like act that i be at some sort of crossroads and would have to decide soon what i be go to do with my life
wait.v.89	that be right wait i follow he out through the lobby to the street	street
wait.v.90	the regular parking stall and stand look at they thoughtfully wait the attendant wave i on	i put in new battery so as to be certain i would have plenty of power and on my way out walk over to on
wait.v.91	the attendant wave i on wait for the first fifteen or twenty minute it be possible	to be more or less interested in window display then in people pass by
wait.v.92	that you foot hurt that the city pavement be hard wait he come out alone	you be conscious of the fact alone
wait.v.93	park at the curb in front of a apartment house wait my quarry be in the apartment house for two hour	i make a big circle until i located the car hour
wait.v.94	i remember it be the peeping tom place wait the card the man i be shadow have fill out	be still on the counter
wait.v.95	include a cup of coffee and the fastest service possible wait you really in a hurry handsome she ask	i get in the car drive down to the drivein and order a couple of hamburger with everything ask
wait.v.96	ratface at the counter be on he foot wait keep she frightened gaze on the man at the counter	she begin to feel she way to the door
wait.v.97	this be acey squire proprietor of the juke joint wait do you know where it might have go	go
wait.v.98	pass and he would be cruelly lacerate by the wire wait the car must have have they gas pedal push down	if he back against the fence one of the car would brush he as it to the floor board
wait.v.99	have get be four punctured tire and one busted head wait you must have know i would go to get the	if i would stay all that i would sheriff
wait.v.100	those name mean anything to you wait in painter s office this evening	evening
wait.v.101	get no official standing on this side of the bay wait shayne open the door on he side and step out	they have out
wait.v.102	fast and come walk on down to the perrin address wait the bartender bring rourke s drink and shayne lay a	then hang up twentydollar bill on the bar
wait.v.103	eight nine step above he roberts have pause wait he look down over the banister at the hotel desk	with the telephone and pen set
wait.v.104	be eight foot apart when roberts clear the last step wait any time roberts he say	they say
wait.v.105	the light on and door open in the file room wait but why	and even if he would somehow miss see he he would not have go off and leave why
wait.v.106	i go over to castro and get fix up there wait and mr skyros do not like angie but what with	prettyman and three of he boy inside and not likely to come out and angie such a valuable salesman prettyman say all the nuisance and danger of get in touch with practically a whole new bunch of boy why do everything have to happen at once
wait.v.107	grab snatch i see that first wait this kind of place she would be through here just	no time at all leave this kind of thing way behind
wait.v.108	money a lot of money enough wait not when she would wait so long already	already
wait.v.109	that the bank but that be not really long to wait wait no need say anything at all to the old	she would be smart about it get he to give it to she in little bill so s nobody would suspect maybe could not get it until monday account of woman
wait.v.110	cold and hot sticky and chilly at the same time wait she have lose a bottle of opium but that be	she feel on the trip from new orleans
wait.v.111	over a shabby ride boot george have a tack hammer wait george say first thing i do when i get to	they be all three bent vicksburg again be get i a yankee with boot on lolotte laugh softly
wait.v.112	he simply walk not notice where he be not care wait as he walk he try to think	think
wait.v.113	she be he goal she be he reason wait not once in the time that he have know she	have he ever consider the possibility not once not for one onethousandth of a second of she infidelity
wait.v.114	she have invite he in for coffee wait without warning without give she a chance to prepare for	it
wait.v.115	the man be just this side of be a freak wait he be dress in a manner esquire might suggest for	the outdoor man s country weekend
wait.v.116	nothing new wait reporter	reporter
wait.v.117	note of thanks to be post on the call board wait andy gather that this have be no small accomplishment	he instruct shirl winter to compose a accomplishment
wait.v.118	bonner say you be go to ask we for help wait what you do not understand be that i be ask	someday for it now
wait.v.119	overheard they act more like a jury than a audience wait hub you stick by the stage door	thornburg add in a lower voice but andy door
wait.v.120	dad wait he catch up with the old man in the living	room
wait.v.121	he do not expect you until five wait nooo	nooo
wait.v.122	traffic be a gadfly maze in which he wander stricken wait what on earth be in mae s mind that she	once out in the street the want he up there spy on what the cop be do
wait.v.123	just stand there morosely he do not even look up wait holden step on the gas	cooper be beside he car on the curb at the right gas
wait.v.124	no wait what do you	you
wait.v.125	have leave after the scuffle have be see to leave wait consider he seriously therefore	he therefore
wait.v.126	well wait griffith look halfcrocked to the captain it would be just	like he
wait.v.127	mahzeer of course would be desolate wait hoag turn	turn
wait.v.128	where across the street wait narrow fourstory building run the length of the block like	book tightly pack on a shelf
wait.v.129	dark form be the button and badge of a policeman wait hoag cross the narrow street squeeze between park car to	but dully glint on the reach the sidewalk
wait.v.130	up he chin in a gesture of satisfaction and aboutfaced wait he sit stiffbacked in a chair that do not swivel	killpath peer through halfclosed lid at he reflection thrust though it be obvious to gun that killpath feel he position as act captain plainly merit a swivel chair
wait.v.131	on a chop block and stare wordlessly at he sergeant wait the 745 bell ring and he could hear the outside	he put he chin on he kneecap stretch he neck like that of a turkey door bang shut close in the assemble day watch
wait.v.132	it be almost one and i have not have lunch wait i tell he i want to go see the buck	house
wait.v.133	a dirt road among the scrub pine tree and stop wait for another moment we do not talk then she begin	i drive out of the harbor turn off into to weep
wait.v.134	i be bet on that chance wait study the topography of the suite	suite
wait.v.135	something heavy shake the floor as it drop wait nothing happen	happen
wait.v.136	take the offer seriously but he begin to feel uneasy wait haney manage a weak laugh	he really do not laugh
wait.v.137	i think i can manage one more favor for you wait haney swish the liquor in the bottom of he glass	glass
wait.v.138	will put it out agin till you be both inside wait perfect setup i tell he	when yuh come back i he
wait.v.139	which patchen himself read on a record against jazz background wait and a blare final chord from the jazz group	i be remind amusedly by a poem of kenneth patchen s call the murder of two men by a young kid wear lemon colored gloves group
wait.v.140	by two man and neither of we be wear glove wait i say wait wait to charlie and he grin digging	this be the same except that it be the murder of one man the reference
wait.v.141	but we could wait all right there be no hurry wait we would hear	the record together once
wait.v.142	but we could wait all right there be no hurry wait we would hear	the record together once
wait.v.143	across pops who be sit between we and ask now wait when he hand it back and i have hold of	about halfway through the second bottle charlie look at i it safely pops be look toward i and i say now to charlie and he swing the short length of lead pipe he have meanwhile take from he pocket once
wait.v.144	he he would never know that anything have hit he wait he be hold the piece of lead pipe out to	out cold if not dead and he would never know what hit i
wait.v.145	poker or play a game of gin rummy or what wait one thing we have not discuss expense money	or would you rather deal a hand of showdown money
wait.v.146	i will go to bat first wait so it would not be for day or even a	week before you could do anything
wait.v.147	unfortunately wait then he say unfortunately only one lamechian linguist exist and	he be too old for this expedition
wait.v.148	answer to question almost before jack could get they ask wait the dice be cast	he have already become use to hesperus snap back cast
wait.v.149	sudden solitude have lose its momentary charm and become oppressive wait wait	the wait
wait.v.150	formerly he have notice they now he feel they wait she smile at he with benign remote happiness apparently she	many torso stretch out along the ground have a greater capacity for retain the drug than do he body
wait.v.151	they find it a struggle to remain on they foot wait they crawl through the north fence and come on toward	now he see that both the man and woman be move slowly and irregularly staggering as if he and now he see that both be young not more than nineteen or twenty
wait.v.152	hold you fire montero be shout wait i will shoot the first man who do not	not
wait.v.153	the circle come nearer and nearer wait montero s rifle crack	crack
wait.v.154	waste you powder on one of em montero shout furiously wait the charge i tell you	for christ s sake do not you
wait.v.155	in the chest there be no doubt he be die wait this time he delay so long that some of the	montero s shot have catch he high engage shout frantically but they hold they fire
wait.v.156	and one have be too many wait they be not sleep of course but they think they	be do he a favor by pretend
wait.v.157	drift here and there wait the pulsing glow of a cigarette	cigarette
wait.v.158	man have tell i about the worth of a ticket wait when suitably light what would it look like	later i would remember what this pompous little like
wait.v.159	hill though they will rally do not worry about that wait my boy	when they learn you be in the boy
wait.v.160	that be what they will expect you to do wait i understand how you feel about the child	child
wait.v.161	presence numbingly close yet too far for she to hear wait she stumble over the root of a tree that protrude	silence walk at pamela s side its maliciously above the earth
wait.v.162	he open the door and get out wait well	well
wait.v.163	aaron mcbride field boss for the highlands oil gas company wait mcbride give he he opportunity when he show up in	that be the day that he have practically mop up the main street of big sands with town with a pistol on he hip
wait.v.164	let s hear it anyway wait let senora brannon live in she father s house for	a time
wait.v.165	ten wait maybe in a year tomas	tomas
wait.v.166	red come along wait with red hogan he ride to the welcome cafe	cafe
wait.v.167	it seem long at least to tom brannon wait macklin be the third man to come out and he	come unhurriedly
wait.v.168	kick wildly its hoof rattle the side of the stall wait presently he hear footstep cross the yard and jess s	he slap the buckskin again and it smother curse
wait.v.169	jackson and she folk in front of they trailworn wagon wait then with a glory that almost wipe out the deep	and now she could see he look uncommon handsome stand there beside sally downward sag in she careworn face matilda lean over the wheel and shout to hez who be stumble along in the heat and the dust on the opposite side of the wagon
wait.v.170	seed more hair than that on a piece o bacon wait rheumatic worse pa dan ask hez who have limp back	but honesttobetsy i have from he team to hold the notchedstick chair brace in place while he boy swing up the tailgate and tie it tight at the end
wait.v.171	fry it out n i onct we git to roll wait hez look up at the high face of emigrant rock	but the sun will official signboard for the raft river turnoff and gloat seem funny that they burnsides never take time to leave they johnhenry up thar
wait.v.172	on account of harmony be so far along dan explain wait he be get the tightest run gear in the train	sally and she ma want to trade off now
wait.v.173	up fast if either of you get in a pinch wait reckon ye be right dan hez call back over he	besides t be not no more n right for i to follow with my black oxen so s i can unhook and pull shoulder
wait.v.174	belligerent motion and almost run to the plane with it wait greg climb into the cockpit feeling as if he have	donovan snatch greg s chute from he with a never be in one before
wait.v.175	altitude for a barrel roll but it could be do wait the clearly identifiable enemy continue on as if no one	a hell of a else be around
wait.v.176	it be she first smile wait sure i say	say
wait.v.177	mmmm it sure itch wait oh i would love to	to
wait.v.178	i particularly love the gaiety and spirit of mardi gras wait the very face of the people bear this expectation of	i love the city and fun and pleasure
wait.v.179	of the people bear this expectation of fun and pleasure wait my uncle and i be not too close socially because	the very face of the difference in we age
wait.v.180	slightly indispose and stay home he bride open the store wait even as she be tell i about it i become	for several week we eye one another almost like spar partner and then one day uncle be aware of a giveaway flush that suffuse she neck and move upward to she cheek and subconsciously i realize that when she enter the store she do not switch on the light
wait.v.181	no wait the sun grow hotter as it approach the midday	midday
wait.v.182	find they way to the bed the light go on wait mary jane take the page from he and begin read	in the bedroom before the husband and wife it move she lip with the word
wait.v.183	you shall have food water and rest wait i see a dozen or so other outrigger moor there	there
wait.v.184	up a snorkle and be twirl it on he forefinger wait you know i know it robinson answer warily	artie have pick warily
wait.v.185	of the marine s reach and away from they shadow wait every so often he turn the knife	matsuo take the small knife from its scabbard and lay it on the ground out knife
wait.v.186	lawman halt they wagon about twenty yard from the door wait if i do not come out within half a hour	the two ride back to town and bring out a posse
wait.v.187	the thing afterwards each time as he use to do wait miss langford lrb she first name be evelyn rrb be	he could not keep he eye off she when at school when he go home at night he take she with he in he mind and she do the thing the anonymous woman use to do and he do a attractive girl
wait.v.188	scoot down the other side shake and clank to itself wait what be the matter she wan na go the bathroom	they lapse into silence and the freight wallow up a hill bathroom
wait.v.189	the old man silently feed upon these street wait waiting for what and for whom only he could tell	and would not
wait.v.190	they keep he alive wait wait it be as though he have make a pact	with the devil himself but it be not yet time to pay the price
wait.v.191	see that everybody at mt pleasant understand that simple fact wait frank follow she into the bedroom hook she dress up	this trip of he have nothing to do with she consort with tenant and i be go to the back
wait.v.192	now she must be think of a boyname something special wait handsomest colt in all kentucky	kentucky
wait.v.193	doaty s grave with flower from doaty s forget garden wait she close she eye remember the small french cemetery enclose	before anything else she would go to by stone wall
wait.v.194	seem to rain there and even the grass be gray wait the garden below be lacy with dew and enchant in	it have always its small wildness
wait.v.195	some of the acknowledgment be cautious but all be interested wait on a impulse she turn back and say good morning	now morning
wait.v.196	they have turn numb and prickly in the classroom wait he glance down into he beard and mutter something in	yiddish
wait.v.197	lie down in the road so we could not pass wait i be amaze	when we be fight a few of we orthodox people be amaze
wait.v.198	muddy road alone and it be rain and at night wait and every sound that might be the rain also might	or you could wish you daddy would really do it kill gratt shafer like he say when you all the time all along could feel the nerve drain out of he like air out of a punctured tire when you be on a be the man who think after he have rape you he have to beat you brain out with a tire tool so you will not tell a combination like ham and egg rape she and kill she and that be be a old maid too
wait.v.199	muddy road alone and it be rain and at night wait and every sound that might be the rain also might	or you could wish you daddy would really do it kill gratt shafer like he say when you all the time all along could feel the nerve drain out of he like air out of a punctured tire when you be on a be the man who think after he have rape you he have to beat you brain out with a tire tool so you will not tell a combination like ham and egg rape she and kill she and that be be a old maid too
wait.v.200	might someday break away the pipe connection from the wall wait and the hour be sixthirty in the morning until eleven	she could not count the time herman have rap on the door just a couple of bang that shake the whole damned closet and at night on saturdays and during sale and there be no chair and you could not smoke and the cooling be overhead fan and there be no porter or janitor
wait.v.201	she up to the turnaround in front of the house wait she be nowhere nowhere she scream and both woman run	even at a car s length i could sense that something be wrong and so i follow up to the house and i follow
wait.v.202	ground to mud so the burial have to be postpone wait then via call to say they have decide to cremate	the funeral service be in the house the methodist minister how clean and glisten he eyeglass and he neat body standing beside that coffin with that doll inside a stranger speak to stranger the old sacred word and the rain drum incessantly in accompaniment seven day of relentless rain that turn the she as they have ellen the thought leap to my mind and do i want to meet she at the funeral home the next morning
wait.v.203	via be in the parking lot when i go outside wait by the time we arrive and enter the building sacred	music be already swell out into the chapellike auditorium with its discreet symbol of religious faith
wait.v.204	man need at least one intimate friend to communicate with wait she show no interest at all in the life he	but i think a have lead back home and it hurt he a little
wait.v.205	she to come in every day to clean for we wait there be so little to do	since we be have coffee with they this afternoon he say i think i will ask the daughter if we can pay do
wait.v.206	he cry out to she he back turn wait but she hear he go	go
wait.v.207	continue on she way toward the end of the camp wait early spring come from she bed from beside she halfdrunk	yet she do not hesitate and only turn slightly she neck tall as she look in he direction and husband walitzee and stand at the entrance way to she lodge hear the mild commotion the sound of hushed voice
wait.v.208	lodge hear the mild commotion the sound of hushed voice wait when at last she could suffer the insult no longer	early spring come from she bed from beside she halfdrunk husband walitzee and stand at the entrance way to she nor face the girl s scorn she say in a voice overloud i shall call you father
wait.v.209	madness of she heart and want for once to cry wait he shout like a hoarse old mastiff he hair stiff	then without know why she find herself run from they flee wildly through the tree dodge she own shadow until she come to a little hollow in the rocky ground with a big stone in the center behind which she kneel and hide listen to the and bristle
wait.v.210	nothing at all he say after a moment s hesitation wait he lean he head against the wood paneling behind he	no but the vivid red image of pain insert themselves against he eyelid
wait.v.211	a airy mother goose mobile spin slowly in the breeze wait the closet be faintly fragrant with lavender and as lucy	there be new yellow curtain bright as a child s life ought to be a new bedspread lively with hop rabbit and hang from the ceiling be shut the door a unhappy memory slip into she mind like a lavender ghost greg s house on the day he be bury and the child pale silent baffled watch the funeral guest with panicky eye
wait.v.212	he father look so worried that the promise spill out wait when you get back i will probly be swim better	in the light from the bedside table than victoria
wait.v.213	get back i will probly be swim better than victoria wait victoria be fourteen month younger than quint a head taller	when you and could lick any boy or girl on the beach
wait.v.214	to have a mother they need not be ashamed of wait but what be a decent six month or so after	it would be good for they the more than twenty year go by
wait.v.215	the morning and she scoot off to she own apartment wait i must have doze off because i come to with	so i tell she mrs roberts would pay she in a start at the sound of voice
wait.v.216	the old man that be why i drink so much wait seem that the kid wally have hire have a repair	i would have all this trouble with business of he own go on the side
wait.v.217	the secret i would keep from gladdy all these year wait two intern and dick ishii the other resident	do he have a right to know resident
wait.v.218	be busy but i do not feel like a hun wait i have part of a bottle of french beer call	the place panther pil lrb so help i rrb then switch to tuborg
wait.v.219	idea along these line you will write i about they wait i really should not have smoke a cigarette so early	i hope if you have any in the day think theresa it always make i sick
wait.v.220	peel he once the worst of the agony be over wait correspondence pass back and forth	she might forth
wait.v.221	i feel the anger mount within i wait i know the boy well	well
wait.v.222	long and dark and brushlike and he eye be blue wait he be my nephew my brother s son handsome and	he be a beautiful boy really with finelyspun blonde hair and a smooth and still effeminate face and he eyelash be warm and newlyscrubbed with happiness upon he face and he face resemble my brother s and mine as well
wait.v.223	so sorry wait but tonight he drink taste like branch water and even	he favorite meal of steak and toss salad give no surcease from the grow weight of the letter in he pocket
wait.v.224	he look a little bit fray wait let s go into the library	library
wait.v.225	here be what i write wait already he could feel anne s question eye	eye
wait.v.226	note of incongruity like a mole on a beautiful face wait quietly he determine to foil she	they give the room a strange she
wait.v.227	gaily carry the anecdote through a frothy and deceptive course wait once martin go along	it be a little contest martin and i have she would begin along
wait.v.228	here be a few fact and figure i have assemble wait willis glance at the bind page give he and shrug	shrug
wait.v.229	call of far place and a seduction at reasonable rate wait we have get rid of the steam yacht and georgian	let s make it moonlight and the house and the bloated tooexpensive automobile be next
wait.v.230	call of far place and a seduction at reasonable rate wait we have get rid of the steam yacht and georgian	let s make it moonlight and the house and the bloated tooexpensive automobile be next
wait.v.231	marshall s pen would thus mean more publicity for welch wait once there the da with devilish cleverness would provide marshall	every new scandal which would provide more copy for with headline viola s multiple romance viola lake a addict downfall of another film idol
wait.v.232	he have only do thing which have to be do wait he look at the luminous dial of he wrist watch	during all he busy life watch
wait.v.233	thing i can do now that i be set up wait we will not live long enough if i wait for	those be the you besides which you do not need to worry there will be plenty more
wait.v.234	i have be wait to get these thing do for month she say wait	but the discussion be academic
wait.v.235	they be cordial and loyal towards the unpredictability of arlene wait and when they have get to they little lawn they	maybe that be why have have a most twirlingly magnificent time
wait.v.236	they have protest that that be not any surprise wait this be a warmup	warmup
wait.v.237	the time jia bangyou say ccp member come up last wait lsb speaker 1 rsb jia bangyou finally come back up	lsb speaker 3 rsb finally the ccp member come up last and at to the surface safely
wait.v.238	all at the mouth of the mine not go anywhere wait lsb speaker 1 rsb he say go on all of	lsb speaker 1 rsb men woman old and young be you go home go see whether you family be still alive
wait.v.239	want to tell they that i miss they a lot wait lsb yejingzhong rsb i think that it be especially important	lsb speaker 2 rsb i to have emotional exchange with the child
wait.v.240	hurricane katrina strike the nursing home decide to evacuate patient wait lsb keithoppenheim rsb priscilla say she mother should have be	lsb keithoppenheim rsb on sunday august twentyeighth the day before transport by ambulance
