15313961	gupta birnbaum uretsky	calculation of creatinine clearance based on unadjusted body weight leads to errors in renal and heart failure patients	Circulation.
22406786	gupta goel farney walker	narcolepsy a case from india with polysomnographic findings	narcolepsy be a common sleep disorder with a prevalence of about 002 however it may remain largely unrecognized in the indian population owe to the perceive low prevalence to the best of we knowledge there be only one case of narcolepsy report from india so far we present a case of narcolepsy with cataplexy with classical clinical and polysomnographic finding of narcolepsy	Neurol_India.
16369235	gupta gupta	severe hepatotoxicity in a rheumatoid arthritis patient switched from leflunomide to methotrexate	MedGenMed.
21755815	gupta bhatia gupta	risk of hepatotoxicity with addon leflunomide in rheumatoid arthritis patients	combination of diseasemodifying antirheumatic drug lrb dmard rrb be increasingly use in the treatment of rheumatoid arthritis lrb ra rrb patient hepatotoxicity have be a important safety concern with dmard therapy though leflunomide lrb cas 75706126 rrb have emerge as a effective oral dmard its use be associate with hepatotoxicity limited datum be available regard hepatotoxic risk when leflunomide be use in combination therapy in ra patient a openlabel prospective study be conduct to evaluate the hepatotoxic risk after addition of leflunomide with other dmard in ra patient who do not respond to they ongoing dmard therapy a total of 46 patient be enrol and leflunomide be give as addon therapy with earlier dmard biochemical parameter of serum aminotransferase level lrb ast and alt rrb be estimate at the baseline and then every month after addition of leflunomide study result show that 130 patient develop 15 to 2 time upper limit of normal lrb uln rrb elevation 65 patient develop 2 to 3 time the uln elevation and 22 patient develop 3 time the uln elevation in 20 of the patient with hepatic enzyme elevation enzyme level return to normal within 46 week after discontinuation of leflunomide therapy whereas in 50 of patient the dose of leflunomide be reduce from 20 mgday to 10 mgday for normalization of enzyme level 30 of patient be continue with leflunomide without dose reduction none of the patient show clinical sign and symptom of hepatotoxicity leflunomide therapy with other dmard require strict monitoring of serum aminotransferase	Arzneimittelforschung.
22503969	gupta gupta	improvement in long term and visuospatial memory following chronic pioglitazone in mouse model of alzheimers disease	peroxisome proliferatoractivated receptorgamma lrb ppar rrb agonist lrb thiazolidinedione rrb be widely prescribe for the treatment of typeii diabetes mellitus recently ppar agonist have show neuroprotective effect in neurodegenerative disorder the current study be carry out to investigate the effect of chronic administration of pioglitazone a ppar agonist on cognitive impairment in a mouse model of alzheimer s disease induce by scopolamine scopolamine be administer in a dose of 1mgkg intraperitoneally lrb ip rrb cognitive function be assess use stepdown latency lrb sdl rrb on a passive avoidance apparatus and escape latency in morris water maze test pioglitazone be also investigate for its effect on parameter of oxidative stress by measure malondialdehyde lrb mda rrb and reduce glutathione lrb gsh rrb level in the brain scopolamine produce significant reduction in sdl and prolongation of escape latency indicate cognitive impairment in mouse pioglitazone lrb 20 and 40 mgkg ip rrb administer for 21 day show significant dosedependent improvement in scopolamineinduced dysfunction in longterm and visuospatial memory in passive avoidance and morris water maze test respectively furthermore pioglitazone significantly prevent the fall in gsh level and elevation in brain mda level induce by scopolamine these result demonstrate that pioglitazone offer protection against scopolamineinduced dysfunction in longterm and visuospatial memory possibly due to its antioxidant action and therefore could have a therapeutic potential in alzheimer s disease	Pharmacol_Biochem_Behav.
22661196	gupta gupta mediratta bhattacharya	effect of resveratrol on scopolamineinduced cognitive impairment in mice	resveratrol lrb 34 5 trihydroxystilbene rrb be a naturally occur compound find in grape wine peanut and cranberry recently in vitro and cell culture study have report beneficial effect of resveratrol in the neurodegenerative process in alzheimer s disease lrb ad rrb however in vivo effect of resveratrol in model of learning and memory be not yet evaluate the present study be perform to examine the effect of resveratrol on cognitive impairment induce by scopolamine a muscarinic antagonist in mouse scopolamine be administer in a dose of 1 mgkg intraperitoneally lrb ip rrb cognitive function be assess use transfer latency lrb tl rrb on elevated plus maze stepdown latency lrb sdl rrb on a passive avoidance apparatus and escape latency lrb el rrb in morris water maze test scopolamine produce significant prolongation of tl reduction in sdl as well as el show cognitive impairment in mouse pretreatment with resveratrol lrb 10 mgkg and 20 mgkg ip rrb for 21 day show no difference in tl sdl and el resveratrol treatment do not reverse scopolamineinduced deficit in cognitive function in mouse	Pharmacol_Rep.
23852898	gupta gupta bhattacharya	naloxone blocks the beneficial effects of aqueous extract of murraya koenigii l spreng leaves in models of pain	this study investigate the antinociceptive effect of aqueous extract of murraya koenigii lrb aemk rrb leave lrb 200 400 and 800 mgkg orally rrb on animal model of acute and persistent pain and its modulation by naloxone antinociceptive effect be assess use tailflick hot plate and formalin test in mouse to differentiate between central and peripheral antinociceptive effect of aemk naloxone lrb 2 mgkg rrb be administer along with the 800 mgkg dose of extract morphine be use as a standard drug aemk and morphine significantly increase the tailflick latency lrb tfl rrb and paw lickingjumping latency in tailflick and hot plate test respectively in comparison to control also in both the test aemk and morphine significantly increase the auc0120 min in formalin test aemk lrb 400 mgkg and 800 mgkg rrb and morphine significantly reduce lick time in both early and late phase in comparison to control thus in all three pain model aemk show antinociceptive effect which be block by naloxone suggest the involvement of opioidergic central mechanism	Eur_Rev_Med_Pharmacol_Sci.
11721257	gupta villablanca jones	evaluation of an acute nerve compression injury with magnetic resonance neurography	although magnetic resonance lrb mr rrb imaging be perform routinely current technique offer little for evaluation of the peripheral nervous system a animal model be develop to evaluate the appearance and geographic change associate with a acute nerve compression injury by mr neurography several measurement of signal intensity be make for the contralateral noninjured nerve and each sciatic nerve proximal to the site of compression lrb pn rrb at the site of compression lrb cn rrb and distal to the site of compression lrb dn rrb injury mean lrb sem rrb value of the mr nervemuscle signal intensity ratio be 224 008 for normal nerve 229 012 for pn 311 031 for cn and 433 047 for dn there be a statistically significant geographic variation of nervemuscle signal intensity ratio along the course of the nerve relative to the site of injury that mr neurography could detect magnetic resonance neurography may have significant potential to provide more information about problem such as brachial plexus injury and peripheral nerve compression	J_Hand_Surg_Am.
12239676	gupta allaire fornalski osterman lee	kinematic analysis of the distal radioulnar joint after a simulated progressive ulnarsided wrist injury	a kinematic analysis of a progressive ulnarsided wrist injury be perform use a cadaver model to study the static and dynamic stabilizer of the distal radioulnar joint with a 3dimensional motion tracking system anatomically base load be apply to achieve pronation and supination and then the specimen be evaluate after serial transection of the triangular fibrocartilage the extensor carpi ulnari sheath and the ulnocarpal ligament statistically significant increase in translation of the radius relative to the ulna occur with sectioning of both the triangular fibrocartilage proper and the extensor carpi ulnaris tendon sheath no significant change in position of the forearm could be appreciate with subsequent sectioning of the ulnocarpal ligament we observation support the idea that the ulnocarpal ligament do not need to be surgically reconstruct when there be serious injury to the triangular fibrocartilage complex	J_Hand_Surg_Am.
12724836	gupta steward	chronic nerve compression induces concurrent apoptosis and proliferation of schwann cells	chronic nerve compression lrb cnc rrb as in carpal tunnel syndrome be a common cause of peripheral nerve dysfunction in human previous study use animal model have demonstrate progressive demyelination and a slowing of nerve conduction velocity to characterize the schwann cell response to cnc we evaluate total schwann cell number apoptosis and proliferation in a animal model of cnc designbased stereologic technique reveal a striking transient increase in schwann cell number follow cnc schwann cell number increase sixfold relative to the normal nerve at the site of compression at 1 month and then slowly decline toward control level nevertheless assay of apoptosis lrb tunel and a antipolyadpribose polymerase labeling assay rrb reveal extensive schwann cell apoptosis at 2 week postcompression which be during the time when schwann cell number be increase electron microscopic analysis confirm that these dramatic change in schwann cell occur in the absence of axon degeneration and axonal swell and before there be any detectable alteration in nerve conduction velocity count of bromodeoxyuridinelabeled schwann cell reveal that proliferation occur concurrently with ongoing apoptosis to define further the possible mitogenic property of mechanical stimulus on schwann cell we use a invitro model to deliver shear stress in the form of laminar fluid flow to pure population of schwann cell and confirm that mechanical stimulus induce schwann cell proliferation we finding indicate that chronic nerve compression induce schwann cell turnover with minimal axonal injury and support the idea that mechanical stimulus have a direct mitogenic effect on schwann cell	J_Comp_Neurol.
12794480	gupta jones	a novel method of skeletal fixation in an aboveelbow replantation the dowel pin technique	Plast_Reconstr_Surg.
12908928	gupta lin bui chao preston mozaffar	macrophage recruitment follows the pattern of inducible nitric oxide synthase expression in a model for carpal tunnel syndrome	chronic nerve compression lrb cnc rrb induce a permeability change in neural vasculature as recent evidence have show that a alteration in reactive oxidative species lrb ros rrb be related to neural degradation and regeneration we evaluate whether inducible nitric oxide synthase lrb inos rrb play a role in a rat model for cnc semiquantitative analysis of inos mrna and protein be perform with in situ hybridization and immunohistochemistry respectively at 3 5 and 9 month postoperatively at 3 month inos mrna be upregulate in the perineurium of the proximal nerve with detectable change in compress and distal nerve segment this expression continue to increase in the perineurium of 5month proximal and compress nerve segment with distal nerve demonstrate only a slight upregulation of inos mrna at 9 month inos mrna expression be observe in both compress and distal nerve inos protein expression follow the same pattern of inos mrna as the perineurium be the bloodnerve barrier the datum suggest that these change maybe mediate at the level of the perineurium as macrophage release inos we also evaluate whether macrophage recruitment follow the same pattern as inos expression the result of ed1 immunostaining for macrophage indicate that macrophage be localized to the outer onethird of cross section during early time point at later time point macrophage be distribute diffusely throughout the nerve section contrary to wallerian degeneration which elicit a relatively immediate signal for macrophage recruitment cnc provide a slow sustained stimulus for macrophage recruitment which may be responsible for the upregulation of inos gene expression	J_Neurotrauma.
15144876	gupta rowshan chao mozaffar steward	chronic nerve compression induces local demyelination and remyelination in a rat model of carpal tunnel syndrome	in a previous study we demonstrate that chronic compression of rat sciatic nerve a model of compressive neuropathy trigger dramatic schwann cell proliferation and concurrent apoptosis importantly this schwann cell response occur before there be sign of overt axonal pathology raise the question of whether there be alteration in axonal myelination in the area of the nerve in which schwann cell apoptosis and proliferation occur here we use nerve teasing technique and unbiased stereology to assess myelination in nerve after 1 and 8 month of compression evaluation of myelin thickness and axonal diameter lrb ad rrb use designbased unbiased stereology reveal alteration in myelin structure that indicate remyelination specifically a dramatic decrease in the average internodal length lrb il rrb and a increase in the proportion of axon with thin myelin sheath the mean il be reduce after 1 month of chronic nerve injury with no further decrease in il at 8 month there be limited change in average axonal diameter at both 1 and 8 month measure of myelin thickness reveal not only a greater than 6fold increase in the number of axon with very thin lrb 5 microm thickness rrb myelin sheath but also a proportional decrease in the number of axon with the thick myelin sheath characteristic of normal nerve these result confirm that a early consequence of chronic nerve compression lrb cnc rrb be local demyelination and remyelination which may be the primary cause of alteration in nerve function during the early period postcompression	Exp_Neurol.
15685607	gupta gray chao bear modafferi mozaffar	schwann cells upregulate vascular endothelial growth factor secondary to chronic nerve compression injury	to better understand the pathogenesis of chronic nerve compression injury we investigate the possibility that schwann cell production of vascular endothelial growth factor lrb vegf rrb be responsible for the increase vascularity and schwann cell proliferation associate with chronic nerve injury in situ hybridization be use to evaluate vegf mrna production with immunohistochemistry to further localize the production of vegf and its receptor protein in a animal model of chronic nerve compression injury vegf mrna and protein expression increase within schwann cell as early as 2 week after compression and peak by 1 month with a subsequent marked increase in the number of blood vessel thus chronic nerve compression injury induce schwann cell to increase vegf production which may be responsible for change in neural vasculature secondary to chronic nerve compression injury with a better understanding of these nerve injury more effective treatment may be develop to help patient with these impairment	Muscle_Nerve.
15726069	gupta lee	positionaldependent changes in glenohumeral joint contact pressure and force possible biomechanical etiology of posterior glenoid wear	the purpose of this study be to simulate the force in the individual periscapular muscle and investigate the possible biomechanical etiology of posterior erosion of the glenoid twelve freshfrozen human cadaveric shoulder be use with a custom shoulder jig that use independently control pneumatic cylinder to apply force across the tendon of each muscle the simulated muscle force include the rotator cuff the deltoid the latissimus dorsi and the pectoralis major the shoulder be test in 12 overhead activity position a 6degreeoffreedom load cell be use to measure the glenohumeral joint force and the glenohumeral contact pressure and area be measure by use of fuji pressuresensitive film there be no significant difference in glenohumeral joint force between 60 degree and 90 degree of vertical abduction or between 60 degree and 90 degree of external rotation at 70 degree of horizontal adduction from the scapular plane there be a significant decrease in superior force a significant increase in posteriorly direct force and a significant decrease in compression when compare with 30 degree and 50 degree of horizontal adduction lrb p 05 rrb similar statistical trend be see for 60 degree of vertical adduction for the glenohumeral contact area and pressure a significant decrease in contact area be see between 30 degree of horizontal adduction and 70 degree of horizontal adduction for both 60 degree and 90 degree of vertical adduction lrb p 05 rrb a significant increase in contact pressure be see at 70 degree of horizontal adduction compare with 50 degree and 30 degree lrb p 05 rrb the contribution of the humerothoracic muscle be significant and should be consider for proper restoration of glenohumeral joint biomechanic furthermore asymmetric load with excessive or repetitive overhead activity may eventually lead to posterior glenoid erosion	J_Shoulder_Elbow_Surg.
15995449	gupta rummler steward	understanding the biology of compressive neuropathies	compressive neuropathy be highly prevalent debilitating condition with variable functional recovery after surgical decompression chronic nerve compression injury induce concurrent schwann cell proliferation and apoptosis in the early stage of the disorder independent of axonal injury these proliferate schwann cell locally demyelinate and remyelinate in the region of injury furthermore schwann cell upregulate vascular endothelial growth factor secondary to chronic nerve compression injury and induce neovascularization to facilitate the recruitment of macrophage in contrast to wallerian degeneration macrophage recruitment occur gradually with chronic nerve compression injury and continue for a longer time schwann cell change they gene and protein expression in response to mechanical stimulus as shear stress decrease the expression of myelin associate glycoprotein and myelin basic protein mrna and protein for in vitro promyelinate schwann cell the local downregulation of myelin associate glycoprotein in the region of compression injury create a environment allow axonal sprout that may be reverse with intraneural injection of purify myelin associate glycoprotein these study suggest that while the reciprocal relationship between neuron and glial cell be maintain chronic nerve compression injury be a schwann cellmediated disease	Clin_Orthop_Relat_Res.
16006023	gupta bingenheimer fornalski mcgarry osterman lee	the effect of ulnar shortening on lunate and triquetrum motiona cadaveric study	ulnar shorten osteotomy be a widely use procedure for a number of pathologic condition however there be little biomechanical datum on its effect on the surrounding soft tissue structure therefore the objective of this study be to determine the effect of progressive ulnar shorten on the distal radioulnar joint and the proximal carpal bone the kinematic and strain between the ulnar styloid lunate and triquetrum be evaluate with vary supination and pronation force six freshfrozen cadaveric upper extremity specimen be test after progressive ulnar shorten use a custom jig biomechanical measurement include strain and translation be make by evaluate the change in position of the digitize marker on the carpal bone radius and ulna there be significant change in marker position with respect to intact specimen for each amount of shorten at the ulnar styloid lrb p 0001 rrb the lunate lrb p 0001 rrb and triquetrum lrb p 0001 rrb with progressive ulnar shorten the strain datum demonstrate that there be no significant change in lunatotriquetral strain but demonstrate a significant increase in both ulnotriquetral and ulnolunato strain lrb p 004 rrb progressive ulnar shorten increase ulnotriquetral and ulnolunato strain with a ensue reduction in motion between the carpal bone	Clin_Biomech_(Bristol,_Avon).
16140204	gupta truong bear chafik modafferi hung	shear stress alters the expression of myelinassociated glycoprotein mag and myelin basic protein mbp in schwann cells	schwann cell within a peripheral nerve respond robustly after a axonal injury recent result have reveal that schwann cell undergo concurrent proliferation and apoptosis after a chronic nerve injury that be independent of axonal pathology although the exact nature of the stimulus that produce this schwann cell response remain unknown we postulate that this response may be trigger directly by mechanical stimulus thus we seek to determine how pure schwann cell respond to a sustained shear stress in the form of laminar fluid flow by evaluate for proliferation expression of s100 myelinassociated glycoprotein lrb mag rrb and myelin basic protein lrb mbp rrb immunohistochemistry demonstrate that the schwann cell be positive for s100 mag and mbp in greater than 99 of the experimental cell stimulated cell also reveal a increase rate of proliferation by as much as 100 lrb p 001 rrb the mrna expression of mag and mbp be downregulate by 21 lrb p 035 rrb and 18 lrb p 015 rrb respectively in experimental cell from rtpcr assay furthermore western blot show a downregulation in mag and mbp protein expression by 29 lrb p 035 rrb and 35 lrb p 02 rrb respectively this study provide novel information regard schwann cell direct response to this physical stimulus that be not secondary to a axonal injury	J_Orthop_Res.
16503805	gupta channual	spatiotemporal pattern of macrophage recruitment after chronic nerve compression injury	the contribution of macrophage to the pathogenesis of chronic nerve compression lrb cnc rrb injury be presently unclear we examine the time course and spatial localization of macrophage invasion from 24 hour to 28 day postcnc injury with immunohistochemistry lrb ihc rrb and electron microscopy lrb em rrb to clarify the difference in macrophage activity between different peripheral nerve injury we compare cnc injury to a nerve crush lrb cr rrb injury at similar time point entire count of macrophage with ed1immunoreactivity lrb ir rrb show a slow gradual increase in macrophage number from 24 hour to 28 day postoperatively in compress section ed1ir be greatest at the site of compression and in distal nerve segment with minimal immunostaining in proximal and normal section quantitative analysis of ed1ir after crush injury demonstrate a rapid time course of macrophage recruitment with ed1ir peak at 48 hour and decline to normal value as early as 21 day postcr injury ultrastructural analysis with em 14 day postcnc injury reveal greater macrophage localization in the inner onethird region of normal nerve relative to the outer region difference in macrophage localization within inner and outer region of compress section be negligible as macrophage be find diffusely throughout the endoneurium by day 14 we finding suggest that macrophage recruitment be dependent upon proximity to neural vasculature with relative macrophage density highest specifically around endoneurial blood vessel in both normal and compress section take together we result detail the unique spatiotemporal dynamics of macrophage recruitment early after cnc injury as distinct from a crush injury	J_Neurotrauma.
