11724676	lee yew wong fu	nonhodgkins pleural lymphoma in longstanding tuberculous pyothorax mimicking suppuration	Int_J_Infect_Dis.
24763926	lee	marketplace analysis demonstrates quality control standards needed for black raspberry dietary supplements	there be currently no standard for the minimum anthocyanin concentration a black raspberry dietary supplement must contain for legal sale in the us all consumer available black raspberry product lrb n 19 rrb package as dietary supplement or otherwise prepared lrb freezedried whole and preground powder rrb be purchase and analyze for they anthocyanin composition and concentration seven of the 19 sample contain no anthocyanin from black raspberry fruit while three of those seven lrb without black raspberry fruit rrb have no anthocyanin of any kind there be a wide range of anthocyanin concentration within the remain product lrb 1812 9048 mg100 g n 12 rrb when express as per capsule or per 1 teaspoon concentration range from 01 to 1452 mg lrb average 28 mg n 12 rrb until us dietary supplement labeling come under regulatory oversight similar to food guideline food be a more dependable source for dietary phenolic than supplement	Plant_Foods_Hum_Nutr.
24790967	lee scagel	chicoric acid chemistry distribution and production	though chicoric acid be first identify in 1958 it be largely ignore until recent popular media coverage cite potential health beneficial property from consuming food and dietary supplement contain this compound to date plant from at least 63 genera and species have be find to contain chicoric acid and while the compound be use as a processing quality indicator it may also have useful health benefit this review of chicoric acid summarize research finding and highlight gap in research knowledge for investigator industry stakeholder and consumer alike additionally chicoric acid identification and quantification method biosynthesis process improvement to increase chicoric acid retention and potential area for future research be discuss	Front_Chem.
24804059	lee	establishing a case for improved food phenolic analysis	future phenolic research finding use a multidisciplinary approach will ensure profitability and sustainability of specialty crop industry while also improve the nutritional and economic choice available to increasingly health and environmentally conscious consumer recent example of phenolic use in commercial and research scenario and new phenolic research discovery be discuss despite be a heavily research topic there remain a need to identify develop and define analysis target for specific qualityrelated plant metabolite	Food_Sci_Nutr.
25045891	lee dossett finn	mistaken identity clarification of rubus coreanus miquel bokbunja	in the us there have be a recent surge in korean black raspberry product available and in the number of report about this species appear in the scientific literature despite this the majority of product sell and the work carry out have be on rubus occidentalis l not r coreanus miquel the importance of accurate recognition of all start material be multiply for research downstream include geneticsgenomics plant breeding phenolic identification food processing improvement and pharmacokinetic investigation a overview of distinguish characteristic separate r coreanus from r occidentalis will be present research conduct on correctly identify fruit will also be summarize to aid future study that might showcase the unique quality that bokbunja can offer	Molecules.
22538686	lee miller kermani dao o'donnell	gallbladder damage control compromised procedure for compromised patients	the objective of this study be to analyze a populationbased database for lrb 1 rrb recent 9year trend in utilization of partial cholecystectomy lrb pc rrb laparoscopic pc and trocar cholecystostomy lrb tc rrb lrb 2 rrb demographic associate diagnosis and hospital characteristic and lrb 3 rrb relevant inpatient outcome retrospective cohort analysis of the nationwide inpatient sample lrb nis rrb file from 2000 to 2008 be perform for the purpose of the study gallbladder damage control be define as pc laparoscopic pc and tc a national estimate of 10872 gallbladder damage control case be obtain procedure perform include pc lrb 478 rrb laparoscopic pc lrb 272 rrb tc lrb 253 rrb and intraoperative cholangiogram lrb ioc rrb lrb 197 rrb a total of 1479 lrb 136 rrb postoperative complication be identify include pulmonary complication lrb 43 rrb hemorrhagehematomaseroma lrb 34 rrb and accidental puncture or laceration during procedure lrb 33 rrb common bile duct injury occur in 33 overall hospital type include nonteaching lrb 821 rrb and urban lrb 678 rrb with regional variation of 421 from the south and 452 from the west inpatient outcome include mean length of stay of 114 lrb 016 sem rrb day mean total hospital charge of 7129669 lrb 110603 sem rrb 74 mortality and 168 discharge to skilled nursing facility multivariate logistic regression analysis identify independent risk variable for common bile duct injury teaching hospital lrb or 1517 ci 11551 991 p 0003 rrb ioc lrb or 2030 ci 15902 591 p 0001 rrb be a commonly associate procedure in the setting of common bile duct injury various circumstance may require gallbladder damage control with pc and tc postoperative complication and common bile duct injury remain significantly high despite limited resection and the teaching status of the hospital be associate with cbd injury high morbidity and mortality of gallbladder damage control may reflect both the compromise nature of the procedure and multiple comorbidity	Surg_Endosc.
22543511	lee tashjian moriarty	is partial colectomy the operation of choice in pediatric clostridium difficile colitis	this study examine the national trend in incidence and surgical management of pediatric clostridium difficle colitis lrb cdc rrb hospitalization this be a crosssectional nationwide inpatient sample lrb nis rrb analysis of pediatric cdc from 2000 to 2008 data analysis include patient demographic procedure length of stay lrb los rrb total hospital charge lrb thc rrb and inhospital mortality during the 9year study period the total number of cdc hospitalization per year increase almost twofold from 2513 in 2000 to 4817 in 2008 the rate per 100000 discharge follow a similar trend increase from 3808 in 2000 to 7257 in 2008 abdominal colectomy be perform in 035 with partial colectomy perform more often than total colectomy mortality mean los and mean thc be not statistically different between partial versus total colectomy child with ulcerative colitis be more likely to undergo total colectomy lrb or 35700 ci 11025115 98 p 0001 rrb infant under the age of 1 year be less likely to undergo total colectomy lrb or 0568 04770 677 p 0001 rrb pediatric hospitalization for cdc be on the rise partial colectomy be perform more often than total colectomy without statistical compromise of mortality length of stay and total hospital charge further study be need to determine the standard surgical management of pediatric cdc	Pediatr_Surg_Int.
22622518	lee tashjian moriarty	missed opportunities in the treatment of pediatric appendicitis	this study seek to evaluate the outcome of inhospital delay and determine associate comorbidity in the treatment of pediatric acute appendicitis this be a retrospective analysis of the national inpatient sample from 2000 to 2008 immediate treatment be define as treatment in hospital day 0 or 1 delay in treatment be define as treatment in hospital day 2 and beyond during the study period 683016 pediatric appendicitis be identify 17737 lrb 26 rrb experience a delay in treatment multivariate analysis identify associate comorbidity for delay in treatment all lrb or 1284 ci 110414 94 rrb aml lrb or 941 ci 75811 68 rrb neutropenia lrb or 553 ci 4606 65 rrb and ovarian cyst without torsion lrb or 317 ci 2943 42 rrb surgical management include more than 13fold increase in drainage procedure lrb 55 vs 04 rrb sixfold increase in cecectomy lrb 12 vs 02 rrb 14fold increase in hemicolectomy lrb 14 vs 01 rrb 11fold increase in small bowel laceration suture repair lrb 11 vs 01 rrb and 15fold increase in small bowel resection lrb 15 vs 01 rrb inhospital delay beyond 2 day be associate with significant negative outcome with regard to complication economic burden and subsequent surgical management use the comorbidity index highrisk comorbidity with associate delay in treatment be identify	Pediatr_Surg_Int.
22742666	lee tashjian moriarty	surgical management of pediatric adhesive bowel obstruction	the objective of this study be to analyze a populationbased database for recent trend in surgical management of pediatric adhesive bowel obstruction and compare open versus laparoscopic lysis of adhesion lrb loa rrb pediatric adhesive bowel obstruction case be identify in the kid inpatient database from 1997 2000 2003 2006 and 2009 data analysis include patient demographic hospital variable length of stay lrb los rrb and total hospital charge lrb thc rrb complication analysis include postoperative shock hemorrhage hematoma seroma wound complication infection fistula and pulmonary complication in total 20679 pediatric adhesive bowel obstruction case be identify during the study period these be characterize by a median age of 11 year old with 590 of the population female overall treatment include 886 open and 114 laparoscopic loa a more than twofold increase in utilization of laparoscopy be observe from 72 in 1997 to 172 in 2009 lrb p 001 rrb complication rate be lower for laparoscopic loa versus open lrb 56 versus 104 odds ratio 0512 95 confidence interval 03940 667 p 001 rrb especially accidental puncture or laceration rate lrb 22 versus 39 odds ratio 0566 95 confidence interval 03750 854 p 006 rrb conversion to open loa occur in 19 laparoscopy be associate with a shorter median los lrb 6 versus 8 day p 001 rrb and a lower mean thc lrb 3824111 versus 4855251 p 001 rrb compare with open loa multivariate regression analysis do not find hospital bed size location teaching status and region to be statistically significant predictor for utilization of laparoscopy laparoscopic loa be a safe option for pediatric adhesive bowel obstruction with lower complication rate and a reduce economic burden despite the increase in utilization of laparoscopy in recent year only a minority of patient undergo laparoscopic loa further study be need to identify and characterize the subgroup of patient who benefit from laparoscopic loa	J_Laparoendosc_Adv_Surg_Tech_A.
22785639	lee moriarty tashjian	less is more management of pediatric splenic injury	to analyze national trend in the nonoperative management of pediatric splenic injury retrospective cohort analysis all child and adolescent 18 year or younger from 2 national database who be hospitalize with pediatric splenic injury datum from 9 year of the national inpatient sample database lrb 20002008 rrb and 3 year of kid inpatient database lrb 2000 2003 and 2006 rrb we calculate and chronicle rate of splenectomy angiography and transfusion from 2000 to 2008 during the study period the rate of splenectomy decrease from 1825 to 1086 change in nonoperative management include more than a 2fold increase in angiography from 243 to 694 and a significant increase in transfusion from 771 to 1149 operative management be associate with increase length of stay lrb 915 vs 652 day rrb and higher mean total hospital charge lrb 74 98126 vs 36 15630 rrb case occur in rural location be more likely to undergo operative management lrb odds ratio 124 lsb 95 ci 1181 31 rsb p 001 rrb but less likely to undergo angiography lrb 082 lsb 0760 89 rsb p 001 rrb child with pediatric splenic injury be undergo fewer splenectomy but more angiography rural location may be a independent risk factor for operative management further study be need to assess for disparity in access to and availability of aggressive nonoperative management	Arch_Surg.
23778438	lee moriarty tashjian patterson	guns and states pediatric firearm injury	a recent report indicate that firearmrelated injury be responsible for 30 of pediatric trauma fatality the literature be however limit in examine pediatric firearm injury and variation in state gun control law therefore we seek to examine the association between pediatric firearm injury and the standyourground lrb syg rrb and child access protection lrb cap rrb law all pediatric lrb age 020 year rrb hospitalization with firearm injury be identify from the kid inpatient database from 2006 and 2009 states be compare for syg and cap law a total of 19233 firearm injury hospitalization be identify with 647 assault 272 accidental and 31 suicide injury demographic for assault injury be as follow mean age of 176 year 884 male 444 black 182 hispanic 705 from metropolitan area and 501 from the poorest median income neighborhood suicide injury case be more likely to be white lrb 578 vs 166 p 0001 rrb and female lrb 151 vs 98 p 0001 rrb states with the syg law be associate with increase accidental injury lrb odds ratio lsb or rsb 1282 p 0001 rrb there be no statistical association between cap law and the incidence of accidental injury or suicide multivariate logistic regression analysis find other predictive demographic factor for firearm injury black lrb or 6164 rrb urban area lrb or 1557 rrb poorest median income neighborhood lrb or 2785 rrb male lrb or 28602 rrb and 16 year or older lrb or 37308 rrb total economic burden be estimate at more than 1 billion dollar with a median length of stay of 3 day 84 discharge to rehabilitation and 62 inhospital mortality pediatric firearm injury continue to be a significant source of morbidity mortality and economic burden a significant increase in accidental firearm injury in state with the syg law may highlight inadvertent effect of the law race sex and median income be additional contribute factor advocacy and focus educational effort for specific socioeconomic and racial group may potentially reduce firearm injury prognostic study level ii	J_Trauma_Acute_Care_Surg.
16598728	lee santos conolly miller hargreaves pauly	respirationinduced b0 field fluctuation compensation in balanced ssfp realtime approach for transitionband ssfp fmri	in functional mri lrb fmri rrb the resonance frequency shift induce from respiration be a major source of physiological noise in transitionband ssfp fmri the respirationinduced resonance offset not only increase noise interference it also shift the activation band this lead to a reduction in the contrasttonoise ratio lrb cnr rrb and the potential for vary contrast level during the experiment a novel realtime method that compensate for the respirationinduced resonance offset frequency be present this method utilize free induction decay lrb fid rrb phase information to measure the resonance offset for compensation one can update the resonant frequency in real time by change the transmit rf pulse and receiver phase to track the measure offset the result show decrease signal power in the respiration frequency band and increase number of activate voxel with higher zscore compare to uncompensated experiment	Magn_Reson_Med.
17457883	lee shahram schwartzman pauly	complex data analysis in highresolution ssfp fmri	in transitionband steadystate free precession lrb ssfp rrb functional mri lrb fmri rrb functional contrast originate from a bulk frequency shift induce by a deoxygenate hemoglobin concentration change in the activate brain region this frequency shift cause a magnitude andor phasesignal change depend on the offresonance distribution of a voxel in the balancedssfp lrb bssfp rrb profile however in early lowresolution study only the magnitude signal activation be show in this paper the taskcorrelated phasesignal change be present in a highresolution lrb 1 x 1 x 1 mm3 rrb study to include this phase activation in a functional analysis a new complex domain data analysis method be propose the result show statistically significant phasesignal change in a large number of voxel comparable to that of the magnitudeactivated voxel the complexdata analysis method successfully include these phase activation in the activation map and thus provide wider coverage compare to magnitudedata analysis result	Magn_Reson_Med.
19319895	lee lustig kim pauly	improved shim method based on the minimization of the maximum offresonance frequency for balanced steadystate free precession bssfp	in this work a shim method that minimize the maximum offresonance frequency lrb minmax shim rrb in balanced steadystate free precession lrb bssfp rrb be test for brain imaging at 3t with constant and linear shim term the method demonstrate improvement of spatial coverage and banding artifact reduction over standard leastsquare shim in addition a new method lrb modify minmax shim rrb be introduce this method reduce boundary band region where the artifact be inevitable due to the excessive offresonance frequency distribution in comparison to standard leastsquare shim the minmax base shim method either eliminate or reduce the size of banding artifact the method can be use to increase the signaltonoise ratio lrb snr rrb in bssfp imaging or to increase the functional contrast in bssfp functional mri lrb fmri rrb by allow a longer usable repetition time lrb tr rrb	Magn_Reson_Med.
19619663	lee hirano fukunaga silva duyn	on the contribution of deoxyhemoglobin to mri graywhite matter phase contrast at high field	high field lrb or 7 t rrb mri study base on signal phase have be use to improve visualization of the fine structure of the brain most notably the major white matter fiber bundle the graywhite matter subdivision and the laminar cortical architecture the observe contrast have be attribute in part to local variation in magnetic susceptibility arise from iron in storage protein and tissue lipid another contribution could come from the paramagnetic blood constituent deoxyhemoglobin the tissue concentration of which may vary through local variation in vascular density to investigate this possibility we examine phase contrast between gray and white matter in rat after intravenous administration of a superparamagnetic contrast agent at various dosage at the maximum dosage lrb 3 mg fekg rrb which result in a estimate paramagnetic susceptibility shift 48 time larger than deoxyhemoglobin we observe a negligible increase in phase contrast between gray and white matter this result suggest that endogenous deoxyhemoglobin have no significant contribution to phase contrast between gray and white matter	Neuroimage.
20202922	lee shmueli fukunaga van merkle silva duyn	sensitivity of mri resonance frequency to the orientation of brain tissue microstructure	recent advance in highfield lrb or 7 t rrb mri have make it possible to study the fine structure of the human brain at the level of fiber bundle and cortical layer in particular technique aim at detect mri resonance frequency shift originate from local variation in magnetic susceptibility and other source have greatly improve the visualization of these structure a recent theoretical study lsb he x yablonskiy da lrb 2009 rrb proc natl acad sci usa 10613558 13563 rsb suggest that mri resonance frequency may report not only on tissue composition but also on microscopic compartmentalization of susceptibility inclusion and they orientation relative to the magnetic field the propose sensitivity to tissue structure may greatly expand the information available with conventional mri technique to investigate this possibility we study postmortem tissue sample from human corpus callosum with a experimental design that allow separation of microstructural effect from confound macrostructural effect the result show that mri resonance frequency do depend on microstructural orientation furthermore the spatial distribution of the resonance frequency shift suggest a origin related to anisotropic susceptibility effect rather than microscopic compartmentalization this anisotropy which have be show to depend on molecular order may provide valuable information about tissue molecular structure	Proc_Natl_Acad_Sci_U_S_A.
21040793	lee fukunaga duyn	improving contrast to noise ratio of resonance frequency contrast images phase images using balanced steadystate free precession	recent mri study have exploit subtle magnetic susceptibility difference between brain tissue to improve anatomical contrast and resolution these susceptibility difference lead to resonance frequency shift which can be visualize by reconstruct the signal phase in conventional gradient echo lrb gre rrb acquisition technique in this work a method be propose to improve the contrast to noise ratio per unit time lrb cnr efficiency rrb of anatomical mri base on resonance frequency contrast the method base on the balanced steadystate free precession lrb bssfp rrb mri acquisition technique be evaluate in its ability to generate contrast between gray and white matter in human brain at 3t and 7t the result show substantially improve cnr efficiency of bssfp phase image lrb 285 021 time at 3 t and 171 011 time at 7 t rrb compare to the gre datum in a limited spatial area this limited spatial coverage be attribute to the sensitivity of bssfp to macroscopic b lrb 0 rrb inhomogeneity with this cnr improvement high resolution bssfp phase image lrb resolution 03 03 2 mm lrb 3 rrb acquisition time 10min rrb acquire at 3t have sufficient cnr to allow the visualization of cortical laminar structure in invivo human primary visual cortex practical application of the propose method may require improvement of b lrb 0 rrb homogeneity and stability by additional preparatory scan andor compensation scheme such as respiration and drift compensation without these addition the cnr benefit of the method may be limit to study at low field or limited region of interest	Neuroimage.
21549203	lee van kuo merkle silva duyn	t2based fiber orientation mapping	recent mri study at high field have observe that in certain white matter fiber bundle the signal in t lrb 2 rrb weighted mri lrb ie mri sensitize to apparent transverse relaxivity rrb be dependent on fiber orientation relative to b lrb 0 rrb in this study the characteristic of this dependency be quantitatively investigate at 7 t use exvivo brain specimen which allow a large range of rotation angle to be measure the datum confirm the previously suggest variation of r lrb 2 rrb lrb 1t lrb 2 rrb rrb with and also indicate that this dependency take the shape of a combination of sin2 and sin4 function with modulation amplitude lrb r lrb 2 rrb rrb reach 644 015 hz lrb or t lrb 2 rrb 291 033 m rrb in the major fiber bundle of the corpus callosum this particular dependency can be explain by a model of local subvoxel scale magnetic field change result from magnetic susceptibility source that be anisotropic as a illustration of a potential use of the orientation dependence of r lrb 2 rrb the feasibility of generate fiber orientation map from r lrb 2 rrb datum be investigate	Neuroimage.
22056461	lee shmueli kang yao fukunaga van palumbo bosetti silva duyn	the contribution of myelin to magnetic susceptibilityweighted contrasts in highfield mri of the brain	t lrb 2 rrb weighted gradientecho mri image at high field lrb 7t rrb have show rich image contrast within and between brain region the source for these contrast variation have be primarily attribute to tissue magnetic susceptibility difference in this study the contribution of myelin to both t lrb 2 rrb and frequency contrast be investigate use a mouse model of demyelination base on a cuprizone diet the demyelinate brain show significantly increase t lrb 2 rrb in white matter and a substantial reduction in graywhite matter frequency contrast suggest that myelin be a primary source for these contrast comparison of invivo and invitro datum show that although tissue t lrb 2 rrb value be reduce by formalin fixation graywhite matter frequency contrast be relatively unaffected and fixation have a negligible effect on cuprizoneinduced change in t lrb 2 rrb and frequency contrast	Neuroimage.
14525223	lee lee lee	unbiased global optimization of lennardjones clusters for n or 201 using the conformational space annealing method	we apply the conformational space annealing method to the lennardjones cluster and find all know lowest energy configuration up to 201 atom without use extra information of the problem such as the structure of the known global energy minima in addition the robustness of the algorithm with respect to the randomness of initial condition of the problem be demonstrate by ten successful independent run up to 183 atom we result indicate that this method be a general and yet efficient global optimization algorithm applicable to many system	Phys_Rev_Lett.
15281124	lee kim joo kim lee	prediction of protein tertiary structure using profesy a novel method based on fragment assembly and conformational space annealing	a novel method for ab initio prediction of protein tertiary structure profesy lrb profile enumerating system rrb be propose this method utilize the secondary structure prediction information of a query sequence and the fragment assembly procedure base on global optimization fifteenresiduelong fragment library be construct use the secondary structure prediction method predict and fragment in these library be assemble to generate fulllength chain of a query protein tertiary structure of 50 to 100 conformation be obtain by minimize a energy function for protein use the conformational space annealing method that enable one to sample diverse lowlying local minima of the energy we apply profesy for benchmark test to protein with known structure to demonstrate its feasibility in addition we participate in casp5 and apply profesy to four newfold target for blind prediction the result be quite promising despite the fact that profesy be in its early stage of development in particular profesy successfully provide we the best modelone structure for the target t0161	Proteins.
15752606	lee kim lee	protein structure prediction based on fragment assembly and parameter optimization	we propose a novel method for abinitio prediction of protein tertiary structure base on the fragment assembly and global optimization fifteen residue long fragment library be construct use the secondary structure prediction method predict and fragment in these library be assemble to generate fulllength chain of a query protein tertiary structure of 50 to 100 conformation be obtain by minimize a energy function for protein use the conformational space annealing method that enable one to sample diverse lowlying local minima of the energy then in order to enhance the performance of the prediction method we optimize the linear parameter of the energy function so that the nativelike conformation become energetically more favorable than the nonnative one for protein with known structure we test the feasibility of the parameter optimization procedure by apply it to the training set consist of three protein the 1055 residue fragment of staphylococcal protein a lrb pdb id 1bdd rrb a design protein betanova and 1fsd	Biophys_Chem.
